epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/distill_feat_loss,train/distill_cls_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/distill_feat_loss,val/distill_cls_loss,old/metrics/precision(B),old/metrics/recall(B),old/metrics/mAP50(B),old/metrics/mAP50-95(B),new/metrics/precision(B),new/metrics/recall(B),new/metrics/mAP50(B),new/metrics/mAP50-95(B),joint/metrics/precision(B),joint/metrics/recall(B),joint/metrics/mAP50(B),joint/metrics/mAP50-95(B),lr/pg0,lr/pg1,lr/pg2
29,1458.3,1.08838,0.66235,1.00571,0.06229,0.00315,0.77304,0.81409,0.85721,0.56883,1.0881,0.66056,1.04969,0.06041,0.00313,0.94708,0.88567,0.96587,0.65189,0.71063,0.76471,0.70285,0.49495,0.80461,0.79748,0.83337,0.57259,0.00120491,0.00120491,0.00120491
30,1508.41,1.06208,0.65823,0.98854,0.06193,0.00323,0.8329,0.81188,0.8592,0.59543,1.04041,0.62672,1.01287,0.06177,0.00304,0.93169,0.90779,0.96662,0.67803,0.7492,0.70588,0.7104,0.51826,0.84014,0.76335,0.83321,0.59483,0.0011884,0.0011884,0.0011884
31,1558.54,1.07735,0.65208,0.99,0.06918,0.00314,0.88041,0.82092,0.8548,0.5992,1.09745,0.63031,1.02844,0.06498,0.003,0.96466,0.88516,0.9653,0.66538,0.9222,0.69784,0.73218,0.5323,0.87673,0.78224,0.84251,0.59465,0.0011719,0.0011719,0.0011719
32,1608.4,1.03986,0.62655,0.9866,0.06906,0.00315,0.88161,0.79577,0.8266,0.57954,1.02685,0.616,1.00295,0.07528,0.00303,0.95469,0.89898,0.96818,0.68161,0.73815,0.70588,0.69109,0.4898,0.84383,0.79505,0.82726,0.58396,0.0011554,0.0011554,0.0011554
33,1660.97,1.03525,0.62215,0.97031,0.06083,0.00317,0.7937,0.79025,0.82776,0.57186,0.99668,0.59028,0.9997,0.10445,0.00287,0.94494,0.90614,0.97013,0.69427,0.84394,0.70588,0.71894,0.48146,0.87229,0.79333,0.83001,0.57832,0.00113889,0.00113889,0.00113889
34,1713.26,1.01455,0.60561,0.96117,0.06523,0.00313,0.86895,0.75567,0.85851,0.59977,1.00801,0.59575,1.00394,0.06999,0.00285,0.96761,0.90102,0.97572,0.69655,0.84989,0.70588,0.74827,0.54112,0.82234,0.79058,0.86001,0.6175,0.00112239,0.00112239,0.00112239
35,1764.33,1.03111,0.61974,0.98103,0.06514,0.00314,0.8568,0.74601,0.83055,0.57839,1.0839,0.62962,1.03642,0.11169,0.00312,0.96527,0.88567,0.96337,0.6532,0.84333,0.64706,0.71807,0.50927,0.87329,0.78428,0.83625,0.57718,0.00110589,0.00110589,0.00110589
36,1814.3,1.03282,0.62455,0.98726,0.06506,0.00314,0.96607,0.75424,0.85604,0.61315,1.00881,0.59301,1.0031,0.08485,0.00299,0.96169,0.89947,0.977,0.69835,0.92171,0.6933,0.73849,0.54268,0.94104,0.79873,0.85557,0.61812,0.00108938,0.00108938,0.00108938
37,1864.65,1.02056,0.62105,0.96916,0.06359,0.00312,0.81751,0.78087,0.78318,0.52771,1.07266,0.61281,1.0175,0.05625,0.00299,0.94782,0.87884,0.96179,0.6384,0.64994,0.70588,0.65293,0.4433,0.82781,0.71778,0.79396,0.53251,0.00107288,0.00107288,0.00107288
38,1915.25,0.9962,0.59566,0.962,0.05962,0.00309,0.94423,0.77365,0.85238,0.6142,1.00299,0.61097,0.99638,0.05752,0.00299,0.93799,0.90345,0.96784,0.68295,0.74536,0.70588,0.72063,0.53338,0.88314,0.74232,0.83757,0.60252,0.00105638,0.00105638,0.00105638
39,1965.45,1.02645,0.61374,0.97636,0.0603,0.00307,0.85768,0.81324,0.86235,0.61535,1.01995,0.58288,1.00963,0.06555,0.00278,0.93583,0.92079,0.97205,0.67667,0.76,0.76471,0.74081,0.52633,0.7829,0.83172,0.84537,0.5939,0.00103987,0.00103987,0.00103987
40,2015.41,1.00876,0.60188,0.967,0.06622,0.00293,0.86772,0.78895,0.8609,0.62372,1.01127,0.58909,1.00741,0.05715,0.0029,0.96537,0.90376,0.96996,0.68917,0.85679,0.70401,0.73659,0.57356,0.8903,0.78544,0.84078,0.6224,0.00102337,0.00102337,0.00102337
41,2064.93,1.0114,0.60248,0.97255,0.05845,0.00295,0.93317,0.8025,0.87579,0.6067,1.00604,0.57886,1.01168,0.05499,0.00277,0.95031,0.91388,0.96975,0.69339,0.8958,0.70588,0.72665,0.51746,0.89945,0.78062,0.84387,0.6019,0.00100687,0.00100687,0.00100687
42,2115.21,1.00963,0.59577,0.96306,0.06435,0.00316,0.91947,0.81283,0.86084,0.59204,1.02947,0.58619,1.00701,0.06667,0.00323,0.9618,0.90217,0.96929,0.67656,0.89684,0.70588,0.73533,0.52654,0.88507,0.8256,0.84607,0.59668,0.000990365,0.000990365,0.000990365
43,2165.16,1.00153,0.59231,0.95992,0.06704,0.00305,0.89485,0.8413,0.87408,0.62907,0.97679,0.56301,0.99073,0.06615,0.0027,0.94819,0.91126,0.97546,0.70227,0.90851,0.76471,0.76289,0.53523,0.92489,0.83893,0.86511,0.61508,0.000973861,0.000973861,0.000973861
44,2214.75,0.98954,0.57486,0.95192,0.05587,0.00292,0.91159,0.85334,0.88142,0.58268,1.04479,0.58218,1.01088,0.05788,0.00283,0.9407,0.92662,0.97493,0.66551,0.85445,0.76471,0.75007,0.52814,0.8385,0.83502,0.8532,0.59024,0.000957358,0.000957358,0.000957358
45,2264.76,0.98477,0.58541,0.96766,0.06415,0.00284,0.8887,0.80877,0.83904,0.59312,0.99949,0.56748,0.99376,0.05921,0.00283,0.95461,0.89715,0.97361,0.68763,0.83089,0.64706,0.68585,0.51264,0.91095,0.77403,0.825,0.59619,0.000940855,0.000940855,0.000940855
46,2314.15,0.98305,0.57298,0.95818,0.06162,0.00304,0.82181,0.76636,0.83483,0.59112,1.00049,0.57052,1.00208,0.06041,0.00285,0.94981,0.9198,0.9701,0.69195,0.87099,0.58824,0.72772,0.54976,0.79317,0.78599,0.82745,0.60524,0.000924352,0.000924352,0.000924352
47,2364.09,0.98117,0.56887,0.95729,0.05721,0.00301,0.86159,0.81625,0.85514,0.61592,0.97384,0.56053,0.99077,0.06954,0.00288,0.95026,0.91281,0.97384,0.70406,0.84518,0.70588,0.73664,0.50157,0.87067,0.81026,0.84483,0.59586,0.000907848,0.000907848,0.000907848
48,2413.46,0.97964,0.56234,0.95771,0.05343,0.00301,0.91622,0.83969,0.88179,0.61259,0.99989,0.55219,1.0024,0.05428,0.00279,0.94437,0.9215,0.97,0.67637,0.91273,0.76471,0.75187,0.54931,0.92531,0.80743,0.85858,0.61089,0.000891345,0.000891345,0.000891345
49,2463.51,0.99602,0.57634,0.95308,0.06777,0.00298,0.88892,0.8271,0.85915,0.61571,0.99019,0.56161,0.9882,0.04886,0.00279,0.92338,0.92833,0.97273,0.7019,0.84242,0.76471,0.74681,0.55116,0.91191,0.8171,0.8563,0.62354,0.000874842,0.000874842,0.000874842
50,2513.22,0.97784,0.55926,0.94821,0.0657,0.00291,0.86504,0.76955,0.85792,0.60228,1.02397,0.55249,1.00155,0.05445,0.00271,0.94354,0.93345,0.97542,0.6916,0.76873,0.64706,0.71679,0.52441,0.81475,0.80732,0.83741,0.60213,0.000858338,0.000858338,0.000858338
51,2562.64,0.96063,0.55512,0.95093,0.05609,0.00299,0.93807,0.80772,0.87971,0.61376,1.00438,0.54129,1.00115,0.05188,0.00275,0.97148,0.90785,0.97654,0.69798,0.92604,0.76471,0.73744,0.54138,0.93793,0.84441,0.85247,0.61622,0.000841835,0.000841835,0.000841835
52,2612.21,0.95911,0.55297,0.9529,0.06576,0.00295,0.9185,0.80026,0.87974,0.62909,0.96279,0.53103,0.97919,0.05285,0.00276,0.95995,0.92833,0.9812,0.71548,0.80352,0.76471,0.71029,0.51492,0.85983,0.83587,0.83852,0.61018,0.000825332,0.000825332,0.000825332
53,2662.55,0.95412,0.54634,0.94244,0.05499,0.00298,0.91829,0.80194,0.89798,0.63366,0.99804,0.5515,1.01582,0.04858,0.00279,0.95549,0.91574,0.97047,0.70977,0.8508,0.76471,0.73334,0.51594,0.89339,0.80206,0.84904,0.61053,0.000808828,0.000808828,0.000808828
54,2712.01,0.95606,0.56129,0.95235,0.0518,0.00285,0.83896,0.87265,0.90734,0.61361,0.99278,0.53551,0.9903,0.05031,0.00287,0.95272,0.92841,0.98134,0.70371,0.92856,0.76462,0.77739,0.53697,0.88529,0.85932,0.87425,0.61667,0.000792325,0.000792325,0.000792325
55,2761.74,0.93928,0.5434,0.94072,0.05925,0.00306,0.92128,0.82365,0.867,0.61775,0.94893,0.52588,0.97148,0.05446,0.00272,0.94531,0.9198,0.97837,0.70847,0.89128,0.76471,0.72667,0.52394,0.90449,0.8559,0.84856,0.61249,0.000775822,0.000775822,0.000775822
