epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,4943.17,0.86753,0.76372,1.14952,0.85819,0.7143,0.78464,0.49136,1.32275,0.91731,1.41208,0.0005744,0.0005744,0.0005744
110,4988.27,0.87086,0.74444,1.16413,0.84977,0.73475,0.79374,0.49951,1.32318,0.92719,1.42182,0.0005612,0.0005612,0.0005612
111,5033.55,0.84755,0.72459,1.15311,0.84517,0.72281,0.78484,0.49772,1.31239,0.91841,1.41003,0.000548,0.000548,0.000548
112,5078.98,0.83965,0.72476,1.13839,0.81834,0.76473,0.7957,0.50283,1.29278,0.91414,1.40545,0.0005348,0.0005348,0.0005348
113,5124.3,0.83207,0.706,1.12289,0.86661,0.72016,0.78889,0.50311,1.31015,0.90596,1.40832,0.0005216,0.0005216,0.0005216
114,5169.95,0.85378,0.71408,1.14809,0.86243,0.71502,0.78568,0.50714,1.29046,0.92237,1.39462,0.0005084,0.0005084,0.0005084
115,5216.12,0.83997,0.71165,1.14065,0.86335,0.72149,0.78358,0.50115,1.30538,0.92312,1.40058,0.0004952,0.0004952,0.0004952
116,5262.31,0.83151,0.69943,1.12561,0.87357,0.72679,0.7839,0.49934,1.30668,0.90413,1.40552,0.000482,0.000482,0.000482
117,5307.93,0.84213,0.6996,1.13224,0.82218,0.75464,0.78453,0.49867,1.31361,0.90547,1.41074,0.0004688,0.0004688,0.0004688
118,5353.5,0.80966,0.74208,1.11624,0.86031,0.71883,0.78843,0.50046,1.30014,0.91012,1.41927,0.0004556,0.0004556,0.0004556
119,5398.65,0.80808,0.66753,1.12313,0.85237,0.73475,0.78749,0.5007,1.29733,0.91155,1.40894,0.0004424,0.0004424,0.0004424
120,5443.47,0.82573,0.71736,1.1346,0.83042,0.74038,0.78699,0.49941,1.2967,0.91533,1.41557,0.0004292,0.0004292,0.0004292
121,5488.39,0.80394,0.67639,1.12697,0.83058,0.7347,0.78148,0.49847,1.28387,0.90665,1.40292,0.000416,0.000416,0.000416
122,5533.82,0.79065,0.65263,1.11104,0.8499,0.72149,0.79143,0.50451,1.28415,0.90628,1.39229,0.0004028,0.0004028,0.0004028
123,5579,0.79969,0.67848,1.1219,0.8332,0.742,0.79492,0.50214,1.29373,0.91488,1.39896,0.0003896,0.0003896,0.0003896
124,5624.16,0.80809,0.67947,1.11241,0.82628,0.74801,0.79049,0.50334,1.2958,0.90309,1.39441,0.0003764,0.0003764,0.0003764
125,5669.49,0.77033,0.64826,1.09713,0.86294,0.73077,0.79813,0.50934,1.28612,0.89715,1.3956,0.0003632,0.0003632,0.0003632
126,5715.11,0.78815,0.64495,1.0984,0.8476,0.73765,0.7969,0.51426,1.28271,0.86667,1.40581,0.00035,0.00035,0.00035
127,5760.89,0.80205,0.68279,1.12028,0.82865,0.74934,0.79586,0.5127,1.2807,0.88097,1.39954,0.0003368,0.0003368,0.0003368
128,5806.44,0.77637,0.62835,1.09738,0.80664,0.76923,0.80595,0.51912,1.27338,0.8654,1.39306,0.0003236,0.0003236,0.0003236
129,5853.41,0.75323,0.63045,1.10329,0.86587,0.73342,0.80074,0.51506,1.27161,0.87347,1.39494,0.0003104,0.0003104,0.0003104
130,5899.15,0.76849,0.63545,1.10256,0.8545,0.73996,0.79589,0.51324,1.27857,0.87835,1.40148,0.0002972,0.0002972,0.0002972
131,5946.9,0.81684,0.56693,1.07727,0.85001,0.72414,0.79393,0.51479,1.27593,0.87533,1.41442,0.000284,0.000284,0.000284
132,5992.23,0.77994,0.55135,1.05646,0.85942,0.72944,0.79343,0.51626,1.27694,0.87409,1.4195,0.0002708,0.0002708,0.0002708
133,6037.35,0.78166,0.53141,1.05114,0.85807,0.73342,0.80455,0.52031,1.27035,0.86327,1.40851,0.0002576,0.0002576,0.0002576
134,6082.49,0.76993,0.52305,1.04588,0.8604,0.73077,0.80212,0.52167,1.2649,0.87817,1.4085,0.0002444,0.0002444,0.0002444
135,6127.84,0.76358,0.52194,1.04353,0.86316,0.74536,0.7998,0.52061,1.26273,0.87766,1.39696,0.0002312,0.0002312,0.0002312
136,6173.14,0.76441,0.51916,1.04484,0.83942,0.75568,0.79139,0.51858,1.25748,0.86391,1.39861,0.000218,0.000218,0.000218
137,6218.23,0.75572,0.4955,1.02991,0.82857,0.77188,0.79982,0.52222,1.26326,0.85894,1.41099,0.0002048,0.0002048,0.0002048
138,6263.56,0.73713,0.49977,1.02701,0.87424,0.73475,0.8088,0.52702,1.25825,0.86267,1.39668,0.0001916,0.0001916,0.0001916
139,6309.03,0.73222,0.50185,1.02754,0.83613,0.75116,0.80464,0.52657,1.25527,0.85492,1.41271,0.0001784,0.0001784,0.0001784
140,6354.45,0.73217,0.49015,1.02563,0.84186,0.74536,0.79853,0.52202,1.26478,0.86526,1.42025,0.0001652,0.0001652,0.0001652
141,6399.43,0.7371,0.4945,1.04592,0.81488,0.75862,0.80042,0.52,1.25812,0.86557,1.41272,0.000152,0.000152,0.000152
142,6444.62,0.71851,0.49074,1.00868,0.84876,0.75066,0.80678,0.52447,1.25457,0.87403,1.40889,0.0001388,0.0001388,0.0001388
143,6490.22,0.71228,0.4815,1.01051,0.8335,0.75689,0.80446,0.52874,1.24813,0.8624,1.39256,0.0001256,0.0001256,0.0001256
144,6535.4,0.7111,0.47336,1.01491,0.83955,0.7703,0.81176,0.53354,1.24932,0.85272,1.39985,0.0001124,0.0001124,0.0001124
145,6581.2,0.7029,0.47815,1.009,0.82867,0.76335,0.80843,0.52953,1.24848,0.85114,1.40827,9.92e-05,9.92e-05,9.92e-05
146,6626.79,0.70298,0.48348,1.00306,0.84157,0.7538,0.80722,0.52918,1.24779,0.85219,1.41067,8.6e-05,8.6e-05,8.6e-05
147,6671.91,0.68263,0.46511,0.99089,0.84561,0.75199,0.80468,0.52977,1.24626,0.859,1.4078,7.28e-05,7.28e-05,7.28e-05
148,6717.1,0.69987,0.49068,1.00068,0.8402,0.74668,0.80255,0.53244,1.24131,0.8541,1.40463,5.96e-05,5.96e-05,5.96e-05
149,6762.42,0.68414,0.4646,0.99399,0.83004,0.75862,0.80509,0.53392,1.23868,0.84625,1.40279,4.64e-05,4.64e-05,4.64e-05
150,6808.13,0.66681,0.46609,0.98161,0.83798,0.75729,0.80869,0.53502,1.23814,0.84414,1.39822,3.32e-05,3.32e-05,3.32e-05
